NCMYK,NLAB,NHSV,NLUM,NTEMP,NRYB,NXYZ
"(0, 11, 21, 35)","(79.521, 1.962, 5.792)","(27, 21.34, 64.31)",57.99,4879,"(164, 158, 129)","(29, 29, 24)"
"(0, 15, 31, 24)","(83.167, 2.343, 10.241)","(30, 31.61, 75.69)",65.55,4242,"(191, 193, 132)","(39, 39, 27)"
"(0, 7, 12, 21)","(86.903, 1.478, 3.486)","(25, 12.94, 78.82)",73.88,5491,"(201, 194, 175)","(49, 50, 47)"
"(0, 21, 41, 30)","(78.861, 3.658, 13.211)","(29, 41.24, 69.41)",56.69,3713,"(177, 171, 104)","(29, 28, 17)"
"(0, 6, 13, 26)","(84.904, 1.025, 4.016)","(30, 13.83, 73.73)",69.34,5403,"(188, 188, 162)","(42, 43, 40)"
"(0, 20, 43, 45)","(72.526, 2.602, 13.497)","(31, 43.57, 54.9)",45.04,3597,"(134, 140, 79)","(17, 17, 10)"
"(0, 9, 18, 25)","(84.51, 1.517, 5.401)","(29, 18.42, 74.51)",68.47,5093,"(190, 188, 155)","(41, 42, 37)"
"(0, 15, 26, 30)","(80.45, 3.367, 6.88)","(23, 26.14, 69.02)",59.86,4574,"(176, 159, 130)","(32, 32, 25)"
"(0, 13, 24, 46)","(74.06, 1.996, 6.484)","(28, 24.82, 53.73)",47.71,4648,"(137, 133, 103)","(19, 19, 15)"
"(0, 10, 19, 23)","(85.152, 1.996, 5.517)","(27, 19.39, 76.86)",69.9,5012,"(196, 188, 158)","(44, 44, 38)"
"(0, 23, 31, 23)","(81.359, 6.492, 7.353)","(16, 31.44, 76.08)",61.73,4242,"(194, 154, 133)","(37, 34, 26)"
"(0, 13, 26, 19)","(85.647, 2.339, 8.24)","(29, 26.34, 80.39)",71.01,4549,"(205, 201, 151)","(46, 46, 35)"
"(0, 16, 29, 17)","(85.546, 3.404, 8.976)","(26, 29.52, 82.35)",70.78,4358,"(210, 195, 148)","(47, 46, 34)"
"(0, 16, 27, 16)","(85.806, 3.894, 7.936)","(23, 27.83, 83.14)",71.37,4476,"(212, 190, 153)","(48, 47, 36)"
"(0, 10, 18, 8)","(90.748, 2.231, 5.613)","(26, 18.88, 91.37)",83.11,5039,"(233, 222, 189)","(65, 65, 57)"
"(0, 9, 14, 30)","(82.346, 1.886, 3.627)","(23, 14.77, 69.02)",63.8,5346,"(176, 166, 150)","(35, 36, 33)"
"(0, 18, 34, 18)","(84.4, 3.704, 10.855)","(27, 34.3, 81.18)",68.23,4086,"(207, 194, 136)","(44, 42, 29)"
"(0, 23, 40, 40)","(73.878, 4.755, 11.126)","(25, 40.4, 59.22)",47.39,3753,"(151, 132, 90)","(20, 19, 12)"
"(0, 15, 32, 2)","(91.111, 2.477, 11.854)","(31, 32.66, 97.25)",84.02,4175,"(242, 248, 167)","(68, 68, 46)"
"(0, 15, 30, 7)","(89.525, 2.732, 10.609)","(30, 30.93, 92.55)",80.1,4288,"(236, 234, 163)","(61, 61, 43)"
"(0, 19, 34, 14)","(86.062, 3.899, 11.206)","(27, 34.7, 85.88)",71.95,4064,"(219, 204, 143)","(49, 48, 32)"
"(0, 20, 37, 9)","(87.36, 4.088, 12.819)","(28, 37.66, 90.59)",74.94,3895,"(231, 218, 144)","(55, 53, 33)"
"(0, 21, 37, 33)","(77.739, 4.468, 10.532)","(25, 37.06, 66.67)",54.51,3936,"(170, 151, 107)","(27, 26, 17)"
"(0, 23, 40, 31)","(77.868, 4.912, 11.789)","(25, 40.23, 68.24)",54.75,3773,"(174, 153, 104)","(28, 26, 16)"
"(0, 15, 28, 13)","(87.425, 3.283, 8.627)","(26, 28.05, 86.67)",75.09,4452,"(221, 206, 159)","(53, 52, 40)"
"(0, 20, 36, 9)","(87.348, 4.099, 12.22)","(27, 36.52, 90.2)",74.92,3957,"(230, 215, 146)","(54, 53, 34)"
"(0, 21, 36, 26)","(80.61, 4.558, 10.677)","(25, 36.36, 73.33)",60.19,3979,"(187, 166, 119)","(34, 32, 21)"
"(0, 18, 26, 30)","(80.117, 4.589, 6.412)","(19, 26.97, 69.8)",59.19,4525,"(178, 151, 130)","(32, 31, 25)"
"(0, 21, 35, 47)","(71.133, 4.333, 8.658)","(23, 35.34, 52.16)",42.69,4022,"(133, 115, 86)","(16, 15, 10)"
