NCMYK,NLAB,NHSV,NLUM,NTEMP,NRYB,NXYZ
"(33, 17, 0, 29)","(78.965, -2.384, -9.858)","(211, 33.33, 70.59)",56.89,18701,"(120, 139, 180)","(26, 28, 47)"
"(34, 19, 0, 24)","(80.228, -1.725, -11.044)","(214, 34.37, 75.29)",59.41,20443,"(126, 146, 192)","(30, 31, 54)"
"(33, 19, 0, 21)","(81.255, -1.313, -11.238)","(215, 33.67, 78.04)",61.51,19242,"(132, 151, 199)","(32, 34, 58)"
"(41, 25, 0, 40)","(71.734, -1.063, -13.04)","(216, 41.45, 59.61)",43.7,40000,"(89, 106, 152)","(15, 16, 31)"
"(16, 9, 0, 32)","(80.839, -0.536, -5.113)","(215, 16.76, 67.84)",60.66,9035,"(144, 152, 173)","(30, 32, 44)"
"(0, 0, 0, 100)","(0.0, 0.0, 0.0)","(0, 0.0, 0.0)",0.0,40000,"(0, 0, 0)","(0, 0, 0)"
"(0, 0, 0, 100)","(0.0, 0.0, 0.0)","(0, 0.0, 0.0)",0.0,40000,"(0, 0, 0)","(0, 0, 0)"
"(0, 0, 0, 100)","(0.0, 0.0, 0.0)","(0, 0.0, 0.0)",0.0,40000,"(0, 0, 0)","(0, 0, 0)"
"(33, 17, 0, 9)","(86.364, -2.413, -10.856)","(212, 33.04, 90.2)",72.64,18701,"(154, 178, 230)","(45, 48, 81)"
"(38, 21, 0, 21)","(80.341, -1.872, -12.643)","(214, 38.19, 78.04)",59.64,32374,"(123, 146, 199)","(30, 31, 58)"
"(39, 23, 0, 38)","(73.321, -1.14, -12.367)","(216, 39.24, 61.96)",46.41,40000,"(96, 113, 158)","(17, 18, 34)"
"(43, 26, 0, 45)","(68.931, -0.785, -13.378)","(217, 43.17, 54.51)",39.13,40000,"(79, 95, 139)","(12, 12, 26)"
"(30, 19, 0, 61)","(62.846, -0.243, -8.147)","(218, 30.93, 38.04)",30.21,16048,"(67, 75, 97)","(7, 7, 12)"
"(33, 19, 0, 52)","(67.755, -1.032, -9.329)","(215, 33.88, 47.45)",37.3,19821,"(80, 92, 121)","(11, 11, 19)"
"(33, 20, 0, 43)","(72.129, -0.668, -10.333)","(217, 33.79, 56.86)",44.36,19821,"(96, 109, 145)","(16, 16, 28)"
"(33, 17, 0, 11)","(85.712, -2.278, -10.932)","(212, 33.19, 88.63)",71.16,18701,"(151, 174, 226)","(44, 47, 78)"
"(40, 24, 0, 43)","(70.363, -1.005, -12.426)","(216, 40.56, 56.08)",41.43,40000,"(85, 101, 143)","(13, 14, 27)"
"(26, 17, 0, 30)","(78.718, 0.098, -9.124)","(220, 26.7, 69.02)",56.41,13059,"(129, 140, 176)","(26, 27, 44)"
"(52, 30, 0, 70)","(54.206, -1.31, -12.243)","(215, 52.0, 29.41)",19.71,40000,"(36, 47, 75)","(3, 3, 7)"
"(0, 0, 0, 99)","(0.274, 0.0, -0.0)","(0, 0.0, 0.39)",0.39,6507,"(1, 1, 1)","(0, 0, 0)"
"(27, 17, 0, 66)","(60.813, -0.293, -6.863)","(218, 27.91, 33.73)",27.52,13822,"(62, 68, 86)","(5, 6, 9)"
"(31, 19, 0, 60)","(63.663, -0.364, -8.427)","(218, 31.68, 39.61)",31.33,16836,"(69, 77, 101)","(7, 7, 13)"
"(0, 0, 0, 100)","(0.0, 0.0, 0.0)","(0, 0.0, 0.0)",0.0,40000,"(0, 0, 0)","(0, 0, 0)"
"(34, 20, 0, 27)","(78.637, -0.913, -11.389)","(216, 34.24, 72.16)",56.25,20443,"(121, 138, 184)","(26, 28, 49)"
"(28, 15, 0, 47)","(71.795, -1.519, -7.76)","(212, 28.89, 52.94)",43.8,14388,"(96, 108, 135)","(15, 16, 25)"
"(22, 13, 0, 56)","(67.456, -0.494, -5.958)","(216, 22.73, 43.14)",36.85,10912,"(85, 92, 110)","(10, 10, 16)"
"(44, 28, 0, 26)","(76.128, -0.563, -16.011)","(218, 44.92, 73.33)",51.47,40000,"(103, 125, 187)","(23, 23, 50)"
"(34, 21, 0, 51)","(67.846, -0.525, -9.855)","(217, 34.15, 48.24)",37.44,20443,"(81, 92, 123)","(11, 11, 20)"
"(100, 0, 0, 99)","(0.216, -0.261, -0.092)","(180, 100.0, 0.39)",0.31,40000,"(0, 0, 1)","(0, 0, 0)"
"(23, 15, 0, 58)","(65.957, -0.121, -6.42)","(218, 23.81, 41.18)",34.6,11414,"(80, 86, 105)","(9, 9, 14)"
"(100, 0, 0, 99)","(0.216, -0.261, -0.092)","(180, 100.0, 0.39)",0.31,40000,"(0, 0, 1)","(0, 0, 0)"
"(28, 18, 0, 58)","(65.169, 0.169, -7.979)","(220, 28.3, 41.57)",33.46,14098,"(76, 83, 106)","(8, 8, 14)"
"(36, 22, 0, 30)","(76.769, -1.044, -12.115)","(216, 36.93, 69.02)",52.66,26788,"(111, 129, 176)","(23, 24, 44)"
"(36, 23, 0, 62)","(61.399, 0.07, -9.963)","(219, 36.46, 37.65)",28.28,24464,"(61, 69, 96)","(6, 6, 12)"
