HCMYK,HLAB,HHSV,HLUM,HTEMP,HRYB,HXYZ
"(0, 17, 27, 66)","(61.825, 2.865, 5.38)","(22, 27.91, 33.73)",28.84,4452,"(86, 76, 62)","(6, 6, 5)"
"(0, 19, 31, 60)","(64.914, 3.528, 6.691)","(22, 31.68, 39.61)",33.09,4242,"(101, 88, 69)","(9, 8, 6)"
"(0, 22, 33, 56)","(66.278, 4.649, 6.945)","(19, 33.64, 43.14)",35.08,4130,"(110, 90, 73)","(11, 10, 8)"
"(0, 18, 32, 58)","(66.223, 3.153, 7.273)","(25, 32.08, 41.57)",35.0,4220,"(106, 95, 72)","(10, 9, 7)"
"(0, 16, 24, 63)","(63.866, 2.863, 4.675)","(21, 24.73, 36.47)",31.61,4648,"(93, 82, 70)","(8, 8, 6)"
"(0, 13, 22, 56)","(68.351, 2.318, 4.909)","(24, 22.73, 43.14)",38.22,4801,"(110, 101, 85)","(12, 11, 10)"
"(0, 23, 36, 59)","(64.833, 4.287, 7.962)","(22, 36.54, 40.78)",32.98,3957,"(104, 88, 66)","(9, 9, 5)"
"(0, 21, 34, 51)","(69.325, 4.07, 8.019)","(23, 34.15, 48.24)",39.75,4086,"(123, 106, 81)","(13, 13, 9)"
"(0, 22, 39, 45)","(71.851, 4.12, 10.509)","(26, 39.13, 54.12)",43.89,3833,"(138, 124, 84)","(17, 16, 10)"
"(0, 15, 23, 58)","(66.884, 2.776, 4.802)","(22, 23.81, 41.18)",35.98,4724,"(105, 94, 80)","(10, 10, 9)"
"(0, 21, 32, 61)","(63.6, 4.048, 6.605)","(21, 32.99, 38.04)",31.24,4153,"(97, 81, 65)","(8, 7, 5)"
"(0, 18, 28, 58)","(66.3, 3.675, 5.653)","(20, 28.3, 41.57)",35.11,4429,"(106, 91, 76)","(10, 9, 7)"
"(0, 21, 33, 61)","(64.143, 3.855, 6.935)","(22, 33.33, 38.82)",32.0,4130,"(99, 84, 66)","(8, 8, 5)"
"(0, 23, 36, 62)","(62.844, 4.518, 7.402)","(21, 36.46, 37.65)",30.21,3979,"(96, 79, 61)","(8, 7, 5)"
"(0, 24, 42, 49)","(69.444, 4.23, 11.583)","(26, 42.97, 50.2)",39.94,3635,"(128, 115, 73)","(14, 13, 8)"
"(0, 24, 33, 59)","(64.42, 5.135, 6.449)","(17, 33.98, 40.39)",32.39,4108,"(103, 82, 68)","(9, 9, 6)"
"(0, 30, 50, 45)","(70.17, 6.031, 14.435)","(25, 50.71, 54.9)",41.11,3275,"(140, 118, 69)","(16, 14, 7)"
"(0, 21, 34, 55)","(67.472, 3.897, 7.82)","(23, 34.21, 44.71)",36.87,4086,"(114, 99, 75)","(11, 11, 8)"
"(0, 21, 31, 59)","(65.322, 4.134, 6.407)","(20, 31.73, 40.78)",33.68,4242,"(104, 87, 71)","(9, 9, 6)"
"(0, 29, 49, 47)","(69.07, 5.74, 13.729)","(25, 49.62, 52.16)",39.35,3326,"(133, 112, 67)","(14, 13, 7)"
"(0, 25, 39, 49)","(69.357, 5.198, 9.341)","(22, 39.06, 50.2)",39.81,3833,"(128, 106, 78)","(14, 13, 9)"
